Región;Comuna;Código postal
Ciudad de México;Azcapotzalco;02640
Ciudad de México;Miguel Hidalgo;11289
Ciudad de México;Iztacalco;08800
Ciudad de México;Iztacalco;08620
Ciudad de México;Azcapotzalco;02770
Ciudad de México;Miguel Hidalgo;11290
Ciudad de México;Azcapotzalco;02230
Ciudad de México;Gustavo A. Madero;07780
Ciudad de México;Venustiano Carranza;15260
Ciudad de México;Azcapotzalco;02710
Ciudad de México;Azcapotzalco;02519
Ciudad de México;Benito Juárez;03910
Ciudad de México;Venustiano Carranza;15250
Ciudad de México;Gustavo A. Madero;07300
Ciudad de México;Miguel Hidalgo;11870
Ciudad de México;Gustavo A. Madero;07700
Ciudad de México;Venustiano Carranza;15400
Ciudad de México;Cuauhtémoc;06240
Ciudad de México;Iztacalco;08910
Ciudad de México;Álvaro Obregón;01109
Ciudad de México;Miguel Hidalgo;11650
Ciudad de México;Venustiano Carranza;15830
Ciudad de México;Cuauhtémoc;06880
Ciudad de México;Azcapotzalco;02360
Ciudad de México;Venustiano Carranza;15300
Ciudad de México;Azcapotzalco;02459
Ciudad de México;Benito Juárez;03920
Ciudad de México;Iztacalco;08810
Ciudad de México;Miguel Hidalgo;11560
Ciudad de México;Gustavo A. Madero;07760
Ciudad de México;Azcapotzalco;02330
Ciudad de México;Benito Juárez;03303
Estado de México;Naucalpan de Juárez;53350
Ciudad de México;Azcapotzalco;02129
Ciudad de México;Álvaro Obregón;01140
Ciudad de México;Azcapotzalco;02750
Ciudad de México;Benito Juárez;03103
Estado de México;Naucalpan de Juárez;53569
Ciudad de México;Cuauhtémoc;06400
Ciudad de México;Miguel Hidalgo;11530
Ciudad de México;Cuauhtémoc;06430
Ciudad de México;Iztacalco;08920
Ciudad de México;Azcapotzalco;02970
Ciudad de México;Venustiano Carranza;15800
Ciudad de México;Cuauhtémoc;06350
Ciudad de México;Azcapotzalco;02660
Ciudad de México;Álvaro Obregón;01460
Ciudad de México;Cuauhtémoc;06300
Ciudad de México;Venustiano Carranza;15840
Ciudad de México;Gustavo A. Madero;07720
Ciudad de México;Benito Juárez;03650
Ciudad de México;Miguel Hidalgo;11370
Ciudad de México;Miguel Hidalgo;11580
Ciudad de México;Iztacalco;08770
Ciudad de México;Azcapotzalco;02500
Ciudad de México;Miguel Hidalgo;11600
Ciudad de México;Álvaro Obregón;01280
Ciudad de México;Álvaro Obregón;01120
Estado de México;Naucalpan de Juárez;53329
Ciudad de México;Venustiano Carranza;15470
Ciudad de México;Azcapotzalco;02070
Ciudad de México;Álvaro Obregón;01100
Ciudad de México;Miguel Hidalgo;11320
Ciudad de México;Miguel Hidalgo;11480
Ciudad de México;Venustiano Carranza;15810
Ciudad de México;Benito Juárez;03230
Ciudad de México;Álvaro Obregón;01125
Ciudad de México;Iztacalco;08830
Ciudad de México;Miguel Hidalgo;11619
Ciudad de México;Gustavo A. Madero;07800
Ciudad de México;Miguel Hidalgo;11450
Ciudad de México;Miguel Hidalgo;11240
Ciudad de México;Miguel Hidalgo;11200
Ciudad de México;Benito Juárez;03000
Ciudad de México;Venustiano Carranza;15860
Ciudad de México;Miguel Hidalgo;11040
Ciudad de México;Azcapotzalco;02160
Ciudad de México;Azcapotzalco;02680
Ciudad de México;Venustiano Carranza;15270
Ciudad de México;Álvaro Obregón;01170
Ciudad de México;Iztacalco;08310
Ciudad de México;Miguel Hidalgo;11100
Ciudad de México;Benito Juárez;03720
Ciudad de México;Cuauhtémoc;06850
Ciudad de México;Azcapotzalco;02090
Ciudad de México;Iztacalco;08840
Ciudad de México;Azcapotzalco;02650
Ciudad de México;Benito Juárez;03640
Ciudad de México;Álvaro Obregón;01289
Ciudad de México;Benito Juárez;03730
Ciudad de México;Cuauhtémoc;06900
Ciudad de México;Miguel Hidalgo;11310
Ciudad de México;Gustavo A. Madero;07860
Ciudad de México;Azcapotzalco;02670
Ciudad de México;Azcapotzalco;02520
Ciudad de México;Azcapotzalco;02840
Ciudad de México;Azcapotzalco;02140
Ciudad de México;Venustiano Carranza;15430
